STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,MEASURE,Measure,UNIT_MEASURE,Unit of measure,AGE,Age,SEX,Sex,EDUCATION_LEV,Education level,DOMAIN,Domain,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals,BASE_PER,Base period
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB_AGE(1.1),Current well-being by age,I,AUS,Australia,7_1,Social support,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,MID,Middle-aged,_T,Total,_T,Total,HSL_7,Social connections,2010,,95.7827838076,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB_AGE(1.1),Current well-being by age,I,AUS,Australia,7_1,Social support,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,MID,Middle-aged,_T,Total,_T,Total,HSL_7,Social connections,2011,,92.9867261133,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB_AGE(1.1),Current well-being by age,I,AUS,Australia,7_1,Social support,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,MID,Middle-aged,_T,Total,_T,Total,HSL_7,Social connections,2012,,92.9867261133,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB_AGE(1.1),Current well-being by age,I,AUS,Australia,7_1,Social support,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,MID,Middle-aged,_T,Total,_T,Total,HSL_7,Social connections,2013,,92.9867261133,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB_AGE(1.1),Current well-being by age,I,AUS,Australia,7_1,Social support,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,MID,Middle-aged,_T,Total,_T,Total,HSL_7,Social connections,2014,,92.9867261133,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB_AGE(1.1),Current well-being by age,I,AUS,Australia,7_1,Social support,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,MID,Middle-aged,_T,Total,_T,Total,HSL_7,Social connections,2015,,92.9867261133,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB_AGE(1.1),Current well-being by age,I,AUS,Australia,7_1,Social support,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,MID,Middle-aged,_T,Total,_T,Total,HSL_7,Social connections,2016,,92.9867261133,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB_AGE(1.1),Current well-being by age,I,AUS,Australia,7_1,Social support,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,MID,Middle-aged,_T,Total,_T,Total,HSL_7,Social connections,2017,,92.9867261133,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB_AGE(1.1),Current well-being by age,I,AUS,Australia,7_1,Social support,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,MID,Middle-aged,_T,Total,_T,Total,HSL_7,Social connections,2018,,91.6170905732,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB_AGE(1.1),Current well-being by age,I,AUS,Australia,7_1,Social support,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,MID,Middle-aged,_T,Total,_T,Total,HSL_7,Social connections,2019,,91.6170905732,,A,Normal value,0,Units,2,Two,,
