country,year,Pct. with social support network,Pct. without social support network,Avg life satisfaction (0-10),Pct. with low life satisfaction (?4),Life sat. gap (Top 20% vs Bot 20%),Avg 'direction in life' score (0-10),Household net disposable income per capita (USD PPP),Pct. having difficulty making ends meet,Employment rate (age 25-64),Gender wage gap,Long-term unemployment rate,Youth (15-24) NEET rate,Definition not found,Avg annual wages (full-time),Pct. low-earning workers (<2/3 median),Earnings gap (Top 10% vs Bot 10%),Housing cost overburden rate (>40% income),Definition not found,Definition not found,Life expectancy at birth,Pct. reporting good/very good health,Pct. reporting bad/very bad health,Avg annual concentration of PM2.5 (�g/m�),Pct. exposed to PM2.5 above WHO guideline,"Assault rate (per 100,000 pop.)"
Argentina,2010,45.33333333,63,,,,26.33333333,,,65.87809,,0.979512813,,,,,,,,,78.7,,,86.81127167,8.358550992,
Argentina,2011,40.28571429,58.33333333,,,,47.85714286,,,67.032326,,0.990702267,,,,,,,,,72.7,,,89.03814195,9.501837629,79.39
Argentina,2012,40.28571429,58.33333333,,,,47.85714286,,,67.033287,,1.044766237,,,,,,,,,78.7,,,89.03814195,9.501837629,
Argentina,2013,40.28571429,58.33333333,,,,47.85714286,,,65.990105,,1.007594923,,,,,,,,,78.6,,,89.03814195,9.501837629,77.17
Argentina,2014,40.28571429,54.57142857,,,,47.85714286,,,65.421463,,1.175862984,,,,,,,,,73.3,,,89.03814195,10.10690497,,,,,,
Argentina,2015,40.28571429,54.57142857,,,,47.85714286,,,,,,,,,,,,,,73.4,,,89.03814195,10.10690497,81.06,,,,,
Argentina,2016,40.28571429,54.57142857,,,,47.85714286,,,72.432,,2.3312,,15.56,,,,,,,73,,,89.03814195,10.10690497,
Argentina,2017,40.28571429,65.33333333,,,,47.85714286,,,65.31996155,7.857142857,2.702394822,,15.68,,24.77729928,4.5,,,,73.8,,,89.03814195,10.11430422,76.74
Argentina,2018,45.85714286,65.33333333,,,,46.28571429,,,65.23799896,11.11111111,3.105935429,19.679968,15.41,,21.6185931,4.375,,,,74,,,87.24427969,10.11430422,
Argentina,2019,45.85714286,65.33333333,,,,46.28571429,,,64.69841003,12,3.408813758,,15.04,,24.50107601,4.5,,,,74.2,,,87.24427969,10.11430422,80.37
Argentina,2020,45.85714286,39.33333333,,,,46.28571429,,,58.2162323,6.25,3.01561354,,,,24.4140841,4.466666667,,,,73,,,87.24427969,12.33885885,
Argentina,2021,45.85714286,39.33333333,,,,46.28571429,,,65.99002075,6.25,3.274448312,,,,20.76840492,5,,,,71.1,,,87.24427969,12.33885885,71.51
Argentina,2022,45.85714286,39.33333333,,,,46.28571429,,,69.53218842,6.666666667,2.315642202,,,,23.63533334,5.333333333,,,,73.2,,,87.24427969,12.33885885,
Argentina,2023,45.85714286,56.42857143,,,,46.28571429,,,70.41471863,6.25,1.898688943,,,,29.73436852,6,,,,74.8,,,87.24427969,5.777465585,77.01
Argentina,2024,45.85714286,56.42857143,,,,46.28571429,,,,9.090909091,,,,,27.56272337,6,,,,,,,87.24427969,5.777465585,
Australia,2010,78,48,,,,22,41406,,75.444,14.04293381,0.989282353,9.6901541,13.99,66705.582,15.98026562,3.311582382,80.83305007,72.62,,84,,,95.78278381,5.154726447,93.22
Australia,2011,59.85714286,42.33333333,,,,22.28571429,42084,,75.798,15.96638656,0.98445803,9.868906,14.14,68914.944,16.85495515,3.378670788,80.5510946,,,84.2,85.4,4,92.98672611,6.340180531,
Australia,2012,59.85714286,42.33333333,,,,22.28571429,41572,,75.589,13.75,1.013312533,9.8566074,14.18,69392.868,17.58875958,3.484848485,80.05456232,77,,84.3,,,92.98672611,6.340180531,
Australia,2013,59.85714286,42.33333333,,,,22.28571429,42081,,75.336,18,1.110650941,10.852316,14,69189.387,15.88054787,3.325714286,80.13222159,,,84.3,,,92.98672611,6.340180531,93.94140625
Australia,2014,59.85714286,46.33333333,,,,22.28571429,42674,,59.668468,15.77335375,1.361856569,10.389955,13.36,69877.669,14.75299839,3.412413793,80.22200134,,,84.4,85.2,4.4,92.98672611,5.160700812,
Australia,2015,59.85714286,46.33333333,,,,22.28571429,42716,,58.48666,13.30769231,1.456729997,9.7582693,13.47,69464.852,15.43609052,3.27613941,80.0728862,,,84.5,,,92.98672611,5.160700812,
Australia,2016,59.85714286,46.33333333,,,,22.28571429,43069,,58.07053,13.72843211,1.393402595,8.9274702,13.09,69806.581,15.63266204,3.331510667,80.05772717,,,84.6,,,92.98672611,5.160700812,91.01
Australia,2017,59.85714286,48.66666667,,,,22.28571429,43399,,58.893112,13.00094822,1.357899744,8.6633263,13,69579.169,15.06164436,3.304177546,79.97950115,,,84.6,85.2,3.7,92.98672611,5.342203291,
Australia,2018,62.28571429,48.66666667,,,,33.85714286,43982,,60.128365,13.44856744,1.343368105,8.8408089,12.49,69832.234,15.43242583,3.355,80.19753872,,,84.9,,,91.61709057,5.342203291,
Australia,2019,62.28571429,48.66666667,7.6,2.7,1.754385965,33.85714286,45273,,61.919876,15.31165312,1.239547894,8.6564646,11.97,70501.846,16.51638654,3.44529375,80.65733424,,,85,,,91.61709057,5.342203291,91.89
